44,dras00044,Bearing,,piece(s),370,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>6306Z,</p>",,,,,,,,,,,,,
45,dras00045,Bearing,NSK,piece(s),0,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>6301D,</p>",,,,,,,,,,,,,
46,dras00046,Bearing,FAG,piece(s),948,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>3203ZZ VTH NVR,</p>",,,,,,,,,,,,,
47,dras00047,Blind rivet,,box(es),0.2,,,,Hardware,,,,,,,,,,,,,,,"<p>1/8"" x 1/2"" 853pcs/box,</p>",,,,,,,,,,,,,
48,dras00048,Blind rivet,,box(es),0.5,,,,Hardware,,,,,,,,,,,,,,,"<p>3/16"" x 1"" 853pcs/box,</p>",,,,,,,,,,,,,
49,dras00049,Blind rivet,,box(es),0.35,,,,Hardware,,,,,,,,,,,,,,,"<p>3/16"" x 1/2"" 726pcs/box,</p>",,,,,,,,,,,,,
50,dras00050,Bootlace ferrule,,piece(s),0.9,,100,,Electrical,,,,,,,,,,,,,,,"<p>1.25mm≤,</p>",,,,,,,,,,,,,
51,dras00051,Bootlace ferrule,,piece(s),1.5,,100,,Electrical,,,,,,,,,,,,,,,"<p>3.5mm≤,</p>",,,,,,,,,,,,,
52,dras00052,Bootlace ferrule,,piece(s),0,,50,,Electrical,,,,,,,,,,,,,,,"<p>5.5mm≤,</p>",,,,,,,,,,,,,
53,dras00053,Built in motor for S6G-25.2-40P,,unit(s),125000,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,dras00054,Busbar,,length(s),760,,,,Electrical,,,,,,,,,,,,,,,"<p>1/4"" x 1"" x 12"",</p>",,,,,,,,,,,,,
55,dras00055,Busbar,,length(s),0,,,,Electrical,,,,,,,,,,,,,,,"<p>1/2"" x 2"" x 1,</p>",,,,,,,,,,,,,
56,dras00056,Busbar insulator,ABB,piece(s),1259,,,,Electrical,,,,,,,,,,,,,,,"<p>2P PS/2/58/16,</p>",,,,,,,,,,,,,
57,dras00057,Busbar insulator,ABB,piece(s),1765,,,,Electrical,,,,,,,,,,,,,,,"<p>3P PS/3/60/16,</p>",,,,,,,,,,,,,
58,dras00058,Busbar insulator,,piece(s),60,,,,Electrical,,,,,,,,,,,,,,,"<p>SM-51,</p>",,,,,,,,,,,,,
59,dras00059,Busbar insulator,,piece(s),40,,,,Electrical,,,,,,,,,,,,,,,"<p>SM-35,</p>",,,,,,,,,,,,,
60,dras00060,Busbar insulator,,piece(s),146,,,,Electrical,,,,,,,,,,,,,,,"<p>SM-76,</p>",,,,,,,,,,,,,
61,dras00061,Bushing,Bitzer,piece(s),3500,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>311 100-04,</p>",,,,,,,,,,,,,
62,dras00062,Bushing,Bitzer,piece(s),3500,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>311-100-05,</p>",,,,,,,,,,,,,
63,dras00063,Bushing,Bitzer,piece(s),2500,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>311-112-07,</p>",,,,,,,,,,,,,
64,dras00064,Bushing,Bitzer,piece(s),2500,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>311 100-15,</p>",,,,,,,,,,,,,
65,dras00065,Bushing,Bitzer,piece(s),2500,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>311 100-08,</p>",,,,,,,,,,,,,
66,dras00066,Bushing,Bock,piece(s),3192,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>Big,</p>",,,,,,,,,,,,,
67,dras00067,Bushing,Bock,piece(s),0,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>Silver,</p>",,,,,,,,,,,,,
68,dras00068,Cable tie,,piece(s),0.2,,500,,Hardware,,,,,,,,,,,,,,,"<p>4"" 100pcs/pack,</p>",,,,,,,,,,,,,
69,dras00069,Cable tie,,piece(s),0.5,,500,,Hardware,,,,,,,,,,,,,,,"<p>6"" 100pcs/pack,</p>",,,,,,,,,,,,,
70,dras00070,Cable tie,,piece(s),0.4,,500,,Hardware,,,,,,,,,,,,,,,"<p>8"" 100pcs/pack,</p>",,,,,,,,,,,,,
71,dras00071,Cable tray,,length(s),0,,10,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>2"" x 4"" x 2"" x 8' GI #22 w/ cover,</p>",,,,,,,,,,,,,
72,dras00072,Cable tray,,length(s),504,,10,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>3"" x 4"" x 3"" x 8' GI #22 w/ cover,</p>",,,,,,,,,,,,,
73,dras00073,Cable tray,,length(s),368,,-,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>3"" x 4"" x 3"" x 8' GI #22 w/o cover not stock,</p>",,,,,,,,,,,,,
74,dras00074,Cable tray,,length(s),579,,15,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>4"" x 4"" x 4"" x 8' GI #22 w/ cover,</p>",,,,,,,,,,,,,
75,dras00075,Cable tray,,length(s),-,,-,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>4"" x 4"" x 4"" x 8' GI #22 w/o cover not stock,</p>",,,,,,,,,,,,,
76,dras00076,Cable tray,,length(s),630,,10,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>4"" x 6"" x 4"" x 8' GI #22 w/ cover,</p>",,,,,,,,,,,,,
77,dras00077,Cable tray,,length(s),682,,-,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>4"" x 6"" x 4"" x 8' GI #22 w/o cover not stock,</p>",,,,,,,,,,,,,
78,dras00078,Cable tray,,length(s),480,,-,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>4"" x 3"" x 4"" x 8' GI #22 w/ cover,</p>",,,,,,,,,,,,,
79,dras00079,Cable tray,,length(s),790,,10,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>4"" x 8"" x 4"" x 8' GI #22 w/ cover,</p>",,,,,,,,,,,,,
80,dras00080,Cable tray,,length(s),682,,-,,Hardware/Wire Trunking,,,,,,,,,,,,,,,"<p>6"" x 4"" x 6"" x 8' GI #22 w/ cover,</p>",,,,,,,,,,,,,
81,dras00081,Capacitor,,piece(s),180,,,,Electrical,,,,,,,,,,,,,,,"<p>5uÉ/450v/50-60hz,</p>",,,,,,,,,,,,,
82,dras00082,Capacitor,,piece(s),220,,,,Electrical,,,,,,,,,,,,,,,"<p>6uÉ/450v/50-60hz,</p>",,,,,,,,,,,,,
83,dras00083,Capacitor,,piece(s),300,,3,,Electrical,,,,,,,,,,,,,,,"<p>35uÉ/450v/50-60hz,</p>",,,,,,,,,,,,,
84,dras00084,Capacitor,,piece(s),350,,,,Electrical,,,,,,,,,,,,,,,"<p>40uÉ/450v/50-60hz,</p>",,,,,,,,,,,,,
85,dras00085,Capacitor,,piece(s),190,,,,Electrical,,,,,,,,,,,,,,,"<p>12uÉ/450v/50-60hz,</p>",,,,,,,,,,,,,
86,dras00086,Capacitor,,piece(s),0,,,,Electrical,,,,,,,,,,,,,,,"<p>15uÉ/450v/50-60hz,</p>",,,,,,,,,,,,,
87,dras00087,Capacity controller,,piece(s),14000,,,,Refrigeration Controls,,,,,,,,,,,,,,,"<p>EKC 331T (084B7105),</p>",,,,,,,,,,,,,
88,dras00088,Capacity controller,,piece(s),15680,,,,Refrigeration Controls,,,,,,,,,,,,,,,"<p>EKC 331,</p>",,,,,,,,,,,,,
89,dras00089,Caster Roller,,piece(s),250,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,dras00090,Caster wheels,,piece(s),65,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>5.7"" fabrication,</p>",,,,,,,,,,,,,
91,dras00091,Caster wheels,,piece(s),95,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>5/13"" fabrication,</p>",,,,,,,,,,,,,
92,dras00092,C-Channel,,length(s),1188,,,,Hardware,,,,,,,,,,,,,,,"<p>1Ω"" x 3"" x 1 Ω"" x 5mm(thk) x 20' Standard thk = 3/16""(4.7mm),</p>",,,,,,,,,,,,,
93,dras00093,C-Channel,,length(s),1380,,,,Hardware,,,,,,,,,,,,,,,"<p>2"" x 3"" x 2"" x 3/16"" x 20' Standard thk = 3/16""(4.7mm),</p>",,,,,,,,,,,,,
94,dras00094,C-Channel,,length(s),1850,,,,Hardware,,,,,,,,,,,,,,,"<p>2"" x 3"" x 2"" x 5mm(thk),</p>",,,,,,,,,,,,,
95,dras00095,Check Valve,Castel,piece(s),1360,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>10mm (3/8"") Flare,</p>",,,,,,,,,,,,,
96,dras00096,Ceramic fuse,,piece(s),125,,,,Electrical,,,,,,,,,,,,,,,"<p>100A,NH00, D02,</p>",,,,,,,,,,,,,
97,dras00097,Ceramic fuse,,piece(s),125,,,,Electrical,,,,,,,,,,,,,,,"<p>125A, NH00,</p>",,,,,,,,,,,,,
98,dras00098,Ceramic fuse,,piece(s),131,,,,Electrical,,,,,,,,,,,,,,,"<p>80Ag,</p>",,,,,,,,,,,,,
99,dras00099,Ceramic fuse,,piece(s),207,,,,Electrical,,,,,,,,,,,,,,,"<p>63A/NH00C,</p>",,,,,,,,,,,,,
100,dras000100,Ceramic fuse,,piece(s),31,,,,Electrical,,,,,,,,,,,,,,,"<p>50A, D02,Gl/gG,</p>",,,,,,,,,,,,,
101,dras000101,Ceramic fuse,,piece(s),35,,,,Electrical,,,,,,,,,,,,,,,"<p>6A (for STI-32),</p>",,,,,,,,,,,,,
102,dras000102,Ceramic fuse,,piece(s),210,,,,Electrical,,,,,,,,,,,,,,,"<p>50A, 500V, NH00C,</p>",,,,,,,,,,,,,
103,dras000103,Check Valve,Danfoss,piece(s),1600,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>15mm (5/8""),</p>",,,,,,,,,,,,,
104,dras000104,Check Valve,Danfoss,piece(s),0,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>22mm (7/8""),</p>",,,,,,,,,,,,,
105,dras000105,Circuit breaker,T&B,piece(s),1822,,,,Electrical,,,,,,,,,,,,,,,"<p>3 phase 25KAIC 600vac 80AT,</p>",,,,,,,,,,,,,
106,dras000106,Circuit breaker,T&B,piece(s),1822,,,,Electrical,,,,,,,,,,,,,,,"<p>3 phase 25KAIC 600vac 100AT,</p>",,,,,,,,,,,,,
107,dras000107,Circuit breaker,G.E,piece(s),18460,,1,,Electrical,,,,,,,,,,,,,,,"<p>400A/3 pole FG400,</p>",,,,,,,,,,,,,
108,dras000108,Circuit breaker,G.E,piece(s),3293,,1,,Electrical,,,,,,,,,,,,,,,"<p>160A/3 pole,</p>",,,,,,,,,,,,,
109,dras000109,Circuit breaker,G.E,piece(s),2720,,-,,Electrical,,,,,,,,,,,,,,,"<p>100A/2 pole TCD124100WL,</p>",,,,,,,,,,,,,
110,dras000110,Circuit breaker,G.E,piece(s),3830,,5,,Electrical,,,,,,,,,,,,,,,"<p>100A/ 3 pole TCD134100WL,</p>",,,,,,,,,,,,,
111,dras000111,Circuit breaker,Siemens,piece(s),0,,,,Electrical,,,,,,,,,,,,,,,"<p>3VT1710-2DA36-0AA0,</p>",,,,,,,,,,,,,
112,dras000112,Circuit breaker,G.E,piece(s),3123,,5,,Electrical,,,,,,,,,,,,,,,"<p>50A/3 pole TCD134050,</p>",,,,,,,,,,,,,
113,dras000113,Circuit breaker,G.E,piece(s),3352,,-,,Electrical,,,,,,,,,,,,,,,"<p>60A/3 pole,</p>",,,,,,,,,,,,,
114,dras000114,Circuit breaker,T&B,piece(s),1656,,,,Electrical,,,,,,,,,,,,,,,"<p>60A/3 pole,</p>",,,,,,,,,,,,,
115,dras000115,Circuit breaker,G.E,piece(s),3351.25,,-,,Electrical,,,,,,,,,,,,,,,"<p>75A/ 3 pole,</p>",,,,,,,,,,,,,
116,dras000116,Circuit breaker,G.E,piece(s),320.5,,-,,Electrical,,,,,,,,,,,,,,,"<p>20A/3 pole TCD134020,</p>",,,,,,,,,,,,,
117,dras000117,Circuit breaker,G.E,piece(s),2873,,-,,Electrical,,,,,,,,,,,,,,,"<p>150A/2 pole,</p>",,,,,,,,,,,,,
118,dras000118,Circuit breaker, G.E,piece(s),27770,,-,,Electrical,,,,,,,,,,,,,,,"<p>600A/3 pole,,</p>",,,,,,,,,,,,,
119,dras000119,Circuit breaker, G.E,piece(s),6370,,-,,Electrical,,,,,,,,,,,,,,,"<p>125A/3 pole,</p>",,,,,,,,,,,,,
120,dras000120,Circuit breaker, G.E,piece(s),18460,,-,,Electrical,,,,,,,,,,,,,,,"<p>250A/3pole, 400v FE250,</p>",,,,,,,,,,,,,
121,dras000121,Circuit breaker,Molden,piece(s),2940,,,,Electrical,,,,,,,,,,,,,,,"<p>50A/600V TCD 134050,</p>",,,,,,,,,,,,,
122,dras000122,Coldroom light fixture,Velux,piece(s),280,,10,,Electrical,,,,,,,,,,,,,,,"<p>BHWP/E 27 white,</p>",,,,,,,,,,,,,
123,dras000123,Coldroom light switch,B-Ticino,piece(s),52,,5,,Electrical,,,,,,,,,,,,,,,"<p>M9001,</p>",,,,,,,,,,,,,
124,dras000124,Compressor,Bitzer,unit(s),98000,,,,Refrigeration/Compressor,,,,,,,,,,,,,,,"<p>4FC-3.2-20D,</p>",,,,,,,,,,,,,
125,dras000125,Compressor,Bitzer,unit(s),255000,,,,Refrigeration/Compressor,,,,,,,,,,,,,,,"<p>4H-15.2Y-20D,</p>",,,,,,,,,,,,,
126,dras000126,Compressor,Bitzer,unit(s),263000,,,,Refrigeration/Compressor,,,,,,,,,,,,,,,"<p>4H-15.2Y-40P,</p>",,,,,,,,,,,,,
127,dras000127,Compressor,Bitzer,unit(s),355000,,,,Refrigeration/Compressor,,,,,,,,,,,,,,,"<p>6G-30.2-40P,</p>",,,,,,,,,,,,,
128,dras000128,Compressor,Bitzer,unit(s),285000,,,,Refrigeration/Compressor,,,,,,,,,,,,,,,"<p>6J-22.2-40P,</p>",,,,,,,,,,,,,
129,dras000129,Compressor,Bitzer,unit(s),360000,,,,Refrigeration/Compressor,,,,,,,,,,,,,,,"<p>S4G-12.2-20D,</p>",,,,,,,,,,,,,
130,dras000130,Compressor,Bitzer,unit(s),295000,,,,Refrigeration/Compressor,,,,,,,,,,,,,,,"<p>S4G-12.2-40P S4G-12.2Y-40P,</p>",,,,,,,,,,,,,
